ID,Group,Expectation,Instructions,IMI_Q1,IMI_Q2,IMI_Q3,IMI_Q4,IMI_Q5,IMI_Q6,IMI_Q7,IMI_Q8,IMI_Q9,IMI_Q10,IMI_Q11,IMI_Q12,IMI_Q13,IMI_Q14,IMI_Q15,IMI_Q16,IMI_Q17,IMI_Q18,IMI_Q19,IMI_Q20,IMI_Q21,IMI_Q22,IMI_Q23,IMI_Q24,IMI_Q25,IMI_Q26,IMI_Q27,IMI_Q28,IMI_Q29,IMI_Q30,IMI_Q31,IMI_Q32,IMI_Q33,IMI_Q34,IMI_Q35,IMI_Q36,IMI_Q37,MOVE_REINV_Q1,MOVE_REINV_Q2,MOVE_REINV_Q3,MOVE_REINV_Q4,MOVE_REINV_Q5,MOVE_REINV_Q6,MOVE_REINV_Q7,MOVE_REINV_Q8,MOVE_REINV_Q9,MOVE_REINV_Q10,RCSI2_HP_Q1,RCSI2_HP_Q2,RCSI2_HP_Q3,RCSI2_HP_Q4,RCSI2_HP_Q5,RCSI2_HP_Q6,RCSI2_HP_Q7,RCSI2_HP_Q8,RCSI2_HP_Q9,RCSI2_HP_Q10,RCSI2_HP_Q11,RCSI2_HP_Q12,RCSI2_HP_Q13,RCSI2_HP_Q14,RCSI2_HP_Q15,RCSI2_HP_Q16,RCSI2_HP_Q17,RCSI2_LP_Q1,RCSI2_LP_Q2,RCSI2_LP_Q3,RCSI2_LP_Q4,RCSI2_LP_Q5,RCSI2_LP_Q6,RCSI2_LP_Q7,RCSI2_LP_Q8,RCSI2_LP_Q9,RCSI2_LP_Q10,RCSI2_LP_Q11,RCSI2_LP_Q12,RCSI2_LP_Q13,RCSI2_LP_Q14,RCSI2_LP_Q15,RCSI2_LP_Q16,RCSI2_LP_Q17
110,TTE,Test,Explicit,6,6,7,3,6,4,2,6,2,1,3,2,5,6,2,1,5,1,4,5,6,5,6,6,1,6,2,2,4,5,6,3,4,5,4,2,6,3,4,4,2,1,0,4,0,3,0,10,30,80,10,70,0,90,15,5,80,65,0,30,0,0,90,20,10,10,90,8,60,10,95,8,0,90,10,0,20,30,0,90,5
111,TCA,Teach,Analogy,5,6,6,3,4,4,1,5,1,1,3,3,7,7,2,1,4,1,5,5,6,4,5,3,1,6,1,3,3,4,4,3,4,7,3,1,5,4,4,3,3,2,4,4,2,4,4,0,10,50,5,5,15,30,40,40,30,20,0,15,10,0,30,0,5,20,60,5,25,0,20,40,30,40,20,0,0,0,0,70,10
112,TTE,Test,Explicit,6,6,6,7,5,3,2,2,2,5,4,2,6,7,3,5,4,2,4,5,6,7,5,3,2,5,2,4,3,3,5,2,5,7,3,2,5,3,1,4,2,1,4,2,1,3,1,20,75,40,10,0,10,15,60,15,10,80,0,15,90,0,25,0,5,10,75,30,40,5,20,0,0,45,60,0,25,40,0,30,10
113,TCE,Teach,Explicit,6,7,5,6,7,4,3,2,1,2,4,1,5,7,1,2,6,1,4,7,7,7,7,4,1,7,1,2,4,6,7,4,6,7,4,1,7,4,5,4,5,4,4,5,4,3,3,30,50,50,40,40,20,60,30,30,50,40,10,50,20,10,20,20,10,10,50,20,10,1,100,20,10,50,10,10,100,10,10,70,20
114,TCE,Teach,Explicit,6,4,5,1,6,6,2,7,3,5,1,1,5,6,3,1,4,4,7,5,5,6,4,7,2,5,3,1,4,7,6,6,5,6,4,4,6,2,4,4,4,4,1,4,3,3,4,20,50,75,25,40,5,80,10,10,65,40,0,70,20,15,70,5,20,25,75,10,10,0,100,10,20,75,20,10,80,10,20,75,10
115,TTE,Test,Explicit,7,6,5,3,4,5,1,2,2,1,2,1,7,7,2,1,3,1,5,7,5,5,5,5,1,7,1,3,3,6,4,4,4,7,5,1,7,1,3,1,1,3,3,4,1,2,3,40,60,50,40,0,10,50,20,50,50,60,0,20,10,0,30,40,20,60,70,30,30,20,50,10,20,50,70,30,20,20,0,30,30
116,TCA,Teach,Analogy,7,6,6,5,5,4,2,4,2,3,3,1,6,6,3,4,5,2,6,6,6,6,6,3,2,NA,3,4,4,4,4,4,6,6,5,3,6,4,4,4,5,1,1,4,1,1,2,50,40,60,60,65,30,70,65,65,50,50,40,35,20,50,50,60,40,40,60,45,30,30,50,50,50,50,40,30,50,20,40,40,30
117,TTA,Test,Analogy,6,4,4,1,4,2,1,7,3,1,6,2,7,6,4,2,5,3,5,3,3,6,6,5,2,6,2,3,2,2,3,2,4,5,2,2,5,1,4,5,5,3,1,4,5,5,1,10,60,40,15,40,5,10,15,10,15,55,0,10,0,20,15,10,20,30,40,5,55,0,25,20,10,35,60,5,5,0,15,10,5
118,TTE,Test,Explicit,3,4,4,4,4,3,2,3,2,2,4,3,4,4,3,2,4,2,3,3,3,4,4,3,2,3,2,3,2,3,3,2,3,5,2,2,3,4,3,2,2,2,2,3,2,3,2,50,30,25,45,30,45,25,20,35,35,35,20,20,20,10,20,35,50,30,45,45,50,30,30,30,20,45,20,20,35,20,20,20,45
119,TTA,Test,Analogy,4,5,5,2,3,5,2,6,2,3,4,4,5,6,2,2,5,3,2,4,3,5,5,5,4,4,2,2,4,2,6,2,5,6,2,2,4,3,4,3,3,1,0,2,0,1,1,20,20,50,75,70,0,50,0,10,30,70,0,0,0,0,50,80,20,30,20,70,10,0,20,0,10,60,40,0,0,0,0,30,70
120,TCE,Teach,Explicit,4,5,5,1,3,1,1,7,3,1,3,4,7,7,1,1,3,3,3,2,4,5,6,7,3,3,1,1,2,3,5,1,2,7,1,1,4,0,0,1,1,3,1,4,4,4,3,2,1,50,25,1,0,15,10,2,10,5,1,3,2,1,6,7,2,3,25,1,5,1,2,1,1,3,0,0,10,2,1,12,3
121,TTA,Test,Analogy,6,7,5,2,6,3,1,6,1,1,5,2,7,6,1,2,6,1,6,6,6,6,6,6,1,6,1,2,2,3,5,3,4,NA,3,1,6,0,0,1,1,0,0,3,0,1,0,20,47,80,60,9,20,0,40,15,50,20,0,10,0,0,60,10,10,15,80,5,10,0,80,15,0,70,10,0,60,0,0,60,0
122,TTA,Test,Analogy,7,4,5,2,5,2,2,6,6,1,6,1,7,7,1,1,3,1,3,5,5,5,7,6,1,7,2,1,5,2,4,1,3,7,2,1,6,3,4,2,3,1,2,4,3,3,1,40,45,50,40,25,15,45,30,40,30,30,20,40,20,15,20,20,30,30,25,15,1,10,20,25,40,30,30,10,20,20,5,40,20
123,TCE,Teach,Explicit,5,7,5,4,5,4,3,4,2,1,3,3,5,7,3,4,6,2,4,4,5,7,5,4,2,5,2,3,4,4,6,3,5,7,4,3,4,4,5,4,4,3,5,4,3,4,4,15,40,65,20,50,15,65,20,10,60,40,10,65,10,20,70,15,0,0,10,15,30,15,50,20,10,60,50,10,60,20,30,60,10
124,TCE,Teach,Explicit,7,6,6,5,5,6,1,2,5,2,2,1,7,5,1,2,3,2,6,6,6,2,7,6,2,7,1,3,5,2,3,6,5,2,6,1,6,4,4,1,4,5,5,4,5,4,4,10,85,20,20,85,10,90,15,10,70,85,15,0,0,5,85,60,85,70,60,15,15,10,70,20,10,70,0,15,10,10,10,60,10
125,TCA,Teach,Analogy,7,7,7,5,7,7,2,4,1,1,1,1,5,6,4,2,7,2,5,6,7,7,7,7,6,6,2,2,4,4,5,5,6,6,6,6,7,2,3,4,3,3,2,4,3,3,2,50,75,50,50,50,50,80,50,25,55,25,0,90,10,25,99,0,25,50,75,50,75,20,75,24,20,50,10,0,70,10,0,80,10
127,TCA,Teach,Analogy,5,7,7,2,4,5,1,6,1,1,2,3,7,7,7,1,7,3,7,5,7,7,1,6,1,5,2,2,3,4,7,5,5,7,5,2,5,2,3,3,2,5,3,2,3,5,5,50,50,30,50,20,40,20,20,60,30,20,10,40,20,0,20,20,50,10,30,20,30,20,40,20,50,40,20,30,20,50,5,40,30
128,TTE,Test,Explicit,4,5,5,2,3,4,1,5,4,5,4,3,6,7,2,1,4,1,5,5,3,2,6,6,5,5,1,2,5,5,5,4,5,6,3,1,5,1,1,3,4,3,2,3,1,3,1,30,40,25,70,35,20,15,45,80,30,20,10,15,60,5,10,75,10,10,50,70,20,10,20,15,60,45,20,10,35,60,0,15,10
129,TCA,Teach,Analogy,3,5,4,2,1,1,2,3,4,5,6,7,3,5,5,5,5,3,2,1,4,3,2,2,3,3,4,5,1,1,4,1,3,4,1,4,2,4,5,1,4,4,4,4,3,4,3,50,45,35,55,30,20,35,40,40,30,55,15,15,35,10,30,40,30,45,55,15,15,10,45,35,15,45,15,10,45,30,5,40,10
130,TTA,Test,Analogy,6,6,6,5,6,4,1,3,1,1,3,1,6,4,1,3,4,1,6,5,5,4,5,4,1,6,1,2,2,4,4,3,5,4,3,1,6,2,4,3,1,1,1,4,1,1,1,8,25,75,5,5,0,80,5,0,60,30,0,60,40,10,80,10,5,20,70,15,25,10,75,5,2,60,40,5,60,65,2,60,10
131,TTE,Test,Explicit,5,7,7,2,5,4,1,6,1,1,3,3,7,7,3,4,6,1,7,4,7,7,5,6,2,5,1,1,3,4,7,5,6,7,5,1,6,4,4,3,1,3,1,4,2,4,3,10,50,50,10,90,0,20,50,10,10,60,0,20,0,0,20,0,5,5,50,20,0,0,70,0,0,20,20,0,50,0,0,80,0
132,TCE,Teach,Explicit,7,7,7,1,6,3,1,7,1,1,2,1,6,6,2,1,5,1,4,5,6,7,6,5,1,7,1,1,4,4,4,2,6,7,2,2,7,1,2,2,1,1,2,3,0,1,1,25,85,45,0,90,0,25,75,10,20,80,0,20,0,35,15,0,15,50,50,0,75,0,65,80,0,25,75,0,30,0,30,20,0
133,TTE,Test,Explicit,6,7,7,2,6,3,1,6,2,1,3,2,7,7,1,1,7,2,2,6,6,7,7,2,2,7,1,1,5,NA,1,4,7,7,2,1,6,5,3,4,4,1,2,4,1,4,1,20,30,70,10,50,0,70,10,0,70,30,0,40,20,0,60,10,10,20,70,10,50,0,60,0,0,60,10,0,60,10,0,60,10
134,TCA,Teach,Analogy,4,5,5,4,3,4,3,4,3,4,4,2,4,4,5,5,5,4,4,3,4,4,3,4,4,3,5,4,3,3,4,4,3,4,3,5,4,4,5,5,4,2,2,4,3,3,1,40,55,40,70,35,60,70,69,60,50,19,30,99,0,45,75,80,16,39,50,15,0,0,60,55,30,60,40,40,99,0,10,70,65
135,TTE,Test,Explicit,6,4,3,1,2,1,2,7,2,4,2,1,2,7,4,1,7,2,5,4,5,6,5,7,3,6,1,1,6,4,6,1,6,6,2,2,6,3,4,5,2,2,0,3,5,1,1,20,30,60,20,70,40,60,40,20,60,50,5,50,5,5,70,10,10,50,60,10,70,5,70,60,10,60,30,5,60,5,5,70,5
136,TTA,Test,Analogy,7,7,7,1,6,5,1,6,6,1,2,2,7,7,1,1,6,1,6,5,6,7,7,7,1,7,1,1,6,5,6,5,6,6,5,1,7,1,4,5,4,4,3,4,1,4,4,0,50,50,70,50,0,60,30,0,40,50,0,30,30,0,50,0,0,60,20,30,40,10,30,10,0,40,40,0,20,30,0,30,10
137,TCA,Teach,Analogy,7,7,7,3,7,3,1,6,1,1,4,1,7,7,2,1,7,1,5,7,7,7,7,7,1,7,1,2,6,5,7,4,7,7,4,1,7,4,4,5,4,3,1,5,1,5,2,10,10,50,35,20,20,80,0,0,90,70,0,70,10,0,70,15,10,30,70,15,30,10,60,0,0,70,30,0,55,30,0,65,5
138,TCE,Teach,Explicit,7,7,7,4,6,4,1,3,1,1,3,1,7,7,1,1,7,1,6,6,7,7,7,4,1,7,1,2,6,5,7,5,7,7,4,1,7,5,4,4,3,4,1,4,3,4,3,60,60,10,70,10,70,40,10,50,30,50,60,10,20,0,10,70,60,70,30,70,20,65,10,75,40,20,50,60,40,60,0,10,70
139,TTA,Test,Analogy,7,2,4,3,4,2,1,5,5,1,6,1,5,7,1,1,6,1,5,6,2,7,6,7,6,7,1,2,7,4,7,2,7,7,1,1,7,1,3,1,0,4,4,4,1,2,3,40,60,70,30,45,10,80,60,65,55,45,15,60,10,10,65,20,30,10,80,25,10,10,75,15,10,65,5,0,90,15,0,55,20
140,TCE,Teach,Explicit,4,6,5,6,5,5,4,4,4,5,3,5,5,4,3,4,5,6,5,3,5,4,5,5,3,5,4,3,6,6,4,5,5,4,4,5,6,3,1,3,2,3,1,3,0,4,1,60,40,70,70,30,60,50,10,70,50,50,50,60,40,40,50,50,60,40,60,60,30,60,50,10,60,50,50,40,50,30,40,50,50
141,TCA,Teach,Analogy,6,7,7,6,6,3,1,2,1,1,4,1,7,7,2,3,6,1,4,5,7,7,7,3,1,6,1,4,4,3,6,3,6,7,2,1,6,2,2,4,4,3,4,5,4,3,3,75,60,50,50,80,15,70,25,90,70,60,0,60,10,80,70,20,65,75,80,15,40,0,75,20,20,50,10,0,30,10,30,70,0
142,TTE,Test,Explicit,4,6,6,4,3,4,5,4,2,3,4,5,4,6,4,3,4,2,5,3,6,5,4,3,3,4,3,5,3,5,5,4,3,5,4,3,5,4,4,5,4,4,3,4,2,3,4,85,75,50,70,45,70,50,40,60,50,50,30,50,0,0,50,50,60,50,60,40,50,10,50,30,60,50,50,20,50,0,0,40,20
143,TCA,Teach,Analogy,5,5,3,3,3,3,1,6,3,3,4,3,6,7,3,2,5,3,5,4,4,3,4,4,1,5,2,2,3,4,5,3,4,7,2,2,6,3,4,4,3,3,3,3,2,2,3,0,50,50,0,67,0,50,0,0,20,50,0,50,20,0,75,0,0,50,50,0,67,0,50,0,0,20,20,0,50,20,0,75,0
144,TCE,Teach,Explicit,7,6,6,1,4,3,1,7,2,4,4,2,6,7,1,1,6,1,4,4,5,5,7,7,1,6,1,1,4,4,5,3,5,6,3,1,6,4,5,5,5,1,4,4,4,4,1,0,5,70,50,50,25,60,30,0,50,10,0,75,0,0,75,0,20,10,60,25,20,10,60,0,0,80,10,0,75,0,0,50,0
146,TCA,Teach,Analogy,4,5,3,3,6,5,4,3,5,5,4,5,3,3,3,4,4,5,3,5,5,5,4,4,4,4,3,3,4,3,4,3,5,5,2,3,4,2,4,2,1,3,2,1,0,3,0,20,20,30,20,20,0,25,40,30,25,30,0,25,15,15,20,0,10,0,50,0,10,0,30,30,30,30,20,0,30,10,0,20,0
147,TCA,Teach,Analogy,6,7,6,4,6,4,NA,6,1,4,3,2,6,6,4,2,5,2,4,5,6,6,4,4,1,6,1,3,3,4,4,4,4,6,3,1,6,3,3,2,3,1,2,4,1,3,1,20,30,15,15,0,0,15,20,40,25,60,15,20,60,0,30,0,20,40,50,10,5,0,30,20,10,30,15,0,25,10,0,30,0
148,TTE,Test,Explicit,5,4,4,5,4,2,1,3,2,1,5,3,7,6,2,1,4,2,4,3,4,6,5,4,2,4,2,2,3,3,5,3,5,6,2,3,4,1,3,1,1,1,1,1,2,4,1,10,25,80,5,50,5,75,50,10,75,60,15,50,30,15,65,40,20,40,80,15,60,15,75,40,20,60,60,10,60,30,15,70,15
149,TTA,Test,Analogy,6,6,6,1,6,5,1,7,3,1,1,1,6,7,2,1,7,1,7,6,5,7,6,7,4,6,1,1,6,5,5,4,7,7,3,2,6,4,3,2,3,1,2,3,3,3,3,85,40,85,50,85,70,100,35,50,90,50,40,75,40,0,85,50,60,75,100,15,45,10,100,50,10,90,15,0,95,0,0,90,15
150,TCE,Teach,Explicit,4,5,6,5,5,4,5,6,5,4,4,4,4,3,3,4,3,4,4,5,5,4,3,5,5,5,4,3,4,4,4,4,3,3,3,4,3,2,2,3,4,3,2,5,2,5,3,20,30,70,15,30,10,90,70,10,60,30,10,60,30,5,50,10,15,0,100,0,10,0,90,15,0,90,15,0,100,15,0,90,0
151,TCE,Teach,Explicit,6,6,NA,6,5,2,1,3,3,1,NA,2,5,7,7,1,5,2,5,6,5,7,4,7,2,7,2,1,5,4,4,2,5,7,1,1,7,0,0,2,1,0,3,3,0,1,0,40,35,65,35,30,20,60,40,45,50,40,30,60,30,20,60,30,60,30,50,45,30,25,70,30,40,65,25,15,75,35,15,75,20
152,TTA,Test,Analogy,7,6,6,5,6,5,1,4,2,1,2,2,6,6,2,2,6,2,6,6,5,6,5,5,2,6,2,2,4,5,5,5,5,6,4,2,6,3,4,4,4,1,3,3,2,3,2,30,30,60,30,70,30,60,20,20,70,10,0,0,0,0,80,0,5,0,80,5,5,0,80,5,0,90,10,0,0,0,0,90,0
154,TTA,Test,Analogy,6,4,6,2,7,6,1,7,2,5,1,2,7,7,4,1,7,1,5,7,7,6,7,6,1,7,1,1,6,6,5,6,5,7,6,1,7,4,0,0,1,4,0,4,0,0,1,50,50,90,60,90,75,90,70,80,85,75,40,90,60,45,85,50,80,90,80,75,80,70,85,70,70,80,70,30,90,40,40,70,55
155,TCA,Teach,Analogy,5,3,3,1,4,4,4,7,7,4,3,3,3,4,4,1,4,3,6,4,1,4,3,7,6,5,4,1,3,3,4,4,4,4,3,4,4,4,3,2,1,2,3,4,1,3,0,5,5,50,5,1,1,30,1,5,50,1,1,20,1,1,60,5,5,5,50,20,1,1,10,5,1,5,1,1,5,1,1,60,5
156,TTE,Test,Explicit,6,6,4,4,6,4,1,1,1,1,2,2,7,3,2,1,5,2,6,5,7,3,3,4,1,6,1,2,3,5,4,4,5,5,4,1,6,0,0,3,4,4,3,3,3,4,5,20,40,50,70,60,20,50,30,40,50,50,0,40,20,0,40,60,20,40,60,70,50,20,60,60,20,50,50,0,40,10,0,50,50
157,TTE,Test,Explicit,5,6,4,3,4,4,2,6,3,2,3,4,6,6,2,4,3,2,5,5,5,5,4,5,2,5,2,4,3,4,5,3,4,6,3,2,5,2,4,3,3,2,3,4,1,2,3,30,10,10,0,0,10,75,10,10,60,20,15,60,10,0,70,15,10,15,80,10,15,0,80,15,0,80,20,5,15,30,0,80,5
158,TCA,Teach,Analogy,6,6,6,2,4,3,7,7,2,3,3,3,4,5,3,2,3,3,5,4,5,5,5,7,2,5,3,3,4,4,4,3,4,6,4,3,4,3,4,2,4,1,1,2,0,0,1,15,10,60,30,50,40,60,40,30,60,40,30,40,20,10,50,10,5,30,70,40,30,10,5,12,2,30,20,0,50,2,2,35,0
159,TTE,Test,Explicit,7,7,6,6,7,2,1,2,1,1,5,1,7,7,1,2,7,1,5,7,7,7,7,4,1,7,1,5,6,5,7,2,7,7,3,1,7,2,3,4,4,2,4,4,3,3,3,45,65,45,30,25,10,35,0,0,35,25,0,45,15,0,65,0,0,35,65,0,15,0,65,0,0,65,25,0,65,0,0,65,0
160,TCE,Teach,Explicit,6,6,4,1,4,6,1,7,2,1,1,1,4,7,4,1,1,1,4,7,7,7,7,4,1,7,1,1,1,7,1,4,7,7,3,1,7,4,5,5,5,0,3,5,0,5,4,0,25,100,100,30,0,100,60,0,75,25,0,0,0,0,25,100,0,15,100,50,15,0,100,30,5,100,15,5,0,0,0,45,50
161,TCE,Teach,Explicit,7,7,7,2,4,6,4,2,2,4,3,3,4,5,5,2,4,2,4,4,5,6,4,5,3,5,4,2,4,4,5,6,6,6,4,4,5,3,4,2,2,3,3,3,2,1,1,40,60,70,30,30,30,60,40,40,60,50,30,70,20,40,60,50,30,60,60,30,40,20,50,40,30,50,50,30,50,30,40,50,20
162,TCA,Teach,Analogy,7,7,7,1,5,5,1,7,1,1,2,2,7,5,1,1,4,2,4,6,6,5,7,7,1,7,1,1,7,5,4,4,5,5,4,1,7,3,5,4,4,3,4,4,2,3,2,10,10,90,10,30,10,90,10,10,90,20,0,90,0,10,90,10,0,0,100,30,0,0,100,0,0,100,0,0,90,0,10,90,10
164,TTA,Test,Analogy,7,7,7,6,7,4,7,5,2,1,4,1,7,7,1,4,7,1,5,7,7,7,7,5,1,7,1,5,7,5,7,4,7,7,4,1,7,4,1,2,4,1,4,3,1,3,1,30,60,70,80,90,70,85,90,90,80,80,85,60,30,10,70,80,20,90,70,60,90,60,50,90,30,40,90,70,60,20,10,60,70
165,TCE,Teach,Explicit,5,5,3,2,6,3,1,2,4,2,3,4,6,6,2,1,5,4,4,5,4,6,5,4,4,5,1,1,3,5,5,4,4,6,2,1,3,1,4,5,4,2,1,3,1,4,1,30,60,70,35,35,0,60,50,10,60,30,10,70,0,10,80,15,10,60,70,15,15,10,80,10,15,80,10,10,85,0,10,75,10
166,TTE,Test,Explicit,4,5,5,4,6,5,4,4,5,6,7,6,6,5,NA,4,4,4,5,4,5,6,6,6,5,5,6,6,5,5,5,6,4,6,5,5,5,0,4,1,NA,0,0,4,1,2,1,0,0,20,0,0,0,0,0,0,0,10,0,0,10,10,0,10,10,0,20,0,0,0,10,0,0,0,10,0,0,0,0,20,0
167,TTE,Test,Explicit,7,7,7,4,6,5,2,6,1,2,3,1,7,6,2,1,6,1,6,6,7,6,7,7,1,7,1,1,5,6,5,5,6,6,4,1,7,5,1,3,3,3,1,4,4,5,4,15,60,50,15,50,5,75,10,10,75,80,5,75,5,5,80,5,20,20,75,15,20,10,90,50,60,80,20,5,75,5,15,75,10
